,id,date_posted,content,user_id,retweet,comment,toxicity,threat,sexually_explicit,profanity,insult,identity_attack,flirtation
0,9131,<built-in method utcnow of type object at 0x10f13d478>,Flappy bird is gonna be the death of me,4,,,0.380571,0.75812477,0.22074716,0.24628437,0.13076082,0.119525686,0.40325597
1,9727,<built-in method utcnow of type object at 0x10f13d478>,He gets this bratty attitude from Brittany .... and its for the birds.,5,,,0.23471203,0.19449757,0.043425374,0.07391287,0.29262117,0.10434215,0.3485746
2,20838,<built-in method utcnow of type object at 0x10f13d478>,Shylock &amp; Wongs: 3 Incidents of Democrat Bigotry In 3 Weeks - Media Mum http://t.co/iX03VrK0KI via @BreitbartNews,6,,,0.31089434,0.41500145,0.25142634,0.25237748,0.259847,0.4451555,0.44011062
3,7412,<built-in method utcnow of type object at 0x10f13d478>,A bird just flew into my window?????? I hope he's okay &#128563;,5,,,0.15584551,0.35330886,0.14206693,0.12799565,0.130544,0.112659104,0.44081017
4,5903,<built-in method utcnow of type object at 0x10f13d478>,@ebomb26 cool beaners. i just got home. ready to keep my couch from floating away. lol,7,,,0.41463485,0.5518218,0.34069037,0.3668496,0.30877542,0.31177786,0.6558957
5,19988,<built-in method utcnow of type object at 0x10f13d478>,"RT @scottvtracy: @AbuYazidMuawiya @amustafaanbari1 Congratulations for reinforcing the stereotype for insecure, uneducated, uncivilized, ba&#8230;",4,,,0.53490317,0.23778906,0.08130023,0.32904682,0.6356477,0.3128588,0.39408582
6,11350,<built-in method utcnow of type object at 0x10f13d478>,I'm okay with rasor talking trash,2,,,0.72142106,0.5984264,0.13134639,0.5651189,0.734651,0.6852365,0.30560932
7,15672,<built-in method utcnow of type object at 0x10f13d478>,"RT @ItsGirllCode: reasons to be a mermaid:

- no periods
- no pants
- perfect hair
- u get to lure men into their death

also, free clam bra",1,,,0.5154597,0.64320993,0.5466333,0.42013642,0.2974843,0.29540908,0.85159975
8,24480,<built-in method utcnow of type object at 0x10f13d478>,such a sucker for some Oreos,5,,,0.8355208,0.22428434,0.62815666,0.77738416,0.8755781,0.2964282,0.42377746
9,12271,<built-in method utcnow of type object at 0x10f13d478>,LMAO Joe was calling whitehouse offering advice. Yeah the President cares what a disgraced FORMER redneck House guy from fl says #morningjoe,0,,,0.57330245,0.11027632,0.13029939,0.1870963,0.69313854,0.1696323,0.34106952
10,9668,<built-in method utcnow of type object at 0x10f13d478>,Happy birthday to my pops. Old negro spiritual is 64 today lol,3,,,0.6664706,0.3564961,0.2831689,0.6131966,0.70199466,0.8200592,0.5512148
11,16311,<built-in method utcnow of type object at 0x10f13d478>,RT @Luke_Grossman52: That's what sports are about. Forget the arrogance &amp; trash talking. Its about making people feel like they are a part &#8230;,5,,,0.53496295,0.20335644,0.094061494,0.38190782,0.6356477,0.23919359,0.38672143
12,835,<built-in method utcnow of type object at 0x10f13d478>,#foxnews cuts away when a Democrat talks and claim to be fair and balanced. LMAO network full of #teabaggers and liars.,0,,,0.63649046,0.11921805,0.10243164,0.30116874,0.7535927,0.33266932,0.3202847
13,18736,<built-in method utcnow of type object at 0x10f13d478>,"RT @ceut: BushCo used to publicly trash ex-officials who wrote books - Snow, O'Neill, etc. Bet we won't hear PBO trashing Gates... #morning&#8230;",0,,,0.43861273,0.23462445,0.13048078,0.3140303,0.46987,0.19378446,0.4905828
14,4783,<built-in method utcnow of type object at 0x10f13d478>,"@Steve_wojtkiw @EmmaLouisaSuttl Wise decision,this Alfie must be a right mong.",3,,,0.31089434,0.22952919,0.06708577,0.1503505,0.3548818,0.15681422,0.24828868
15,569,<built-in method utcnow of type object at 0x10f13d478>,"""They have to. That division is trash @NoMeek_JustMilz: Saints gon win the NFC South...watch""",6,,,0.49818653,0.07076513,0.027610237,0.26851153,0.6411173,0.19955827,0.3066032
16,8427,<built-in method utcnow of type object at 0x10f13d478>,Charlie Jacobs got confused about the ice bucket challenge and instead dumped a bucket of diamonds on his head.,5,,,0.1516687,0.3213457,0.02336621,0.025779653,0.1420678,0.025491921,0.32344672
17,19243,<built-in method utcnow of type object at 0x10f13d478>,RT @illroots: The radio is trash.,3,,,0.7181033,0.17376328,0.072942704,0.5642378,0.7871393,0.20347403,0.19188014
18,1021,<built-in method utcnow of type object at 0x10f13d478>,&#128530; my nerves are being worked cos of my monkey &#128529;&#128545;,1,,,0.23745838,0.15965676,0.12732084,0.15987611,0.20905745,0.15500642,0.36996767
19,8521,<built-in method utcnow of type object at 0x10f13d478>,"Conoc&#237; tus ojos negros 
Y ahora si que no puedo vivir sin ellos",9,,,0.76821905,0.57854795,0.49432096,0.69309914,0.6987626,0.89519286,0.6148234
20,10993,<built-in method utcnow of type object at 0x10f13d478>,I traveled back in time to Middle-earth and crept up on my enemy. I slit the hobbit's throat and by reflex vomited into my trembling hand.,6,,,0.48789605,0.76272696,0.27337232,0.2643158,0.36305305,0.3270017,0.5473109
21,17343,<built-in method utcnow of type object at 0x10f13d478>,RT @Smart_Cookie86: If I had to pick a President of the Uncle Tom association I would pick Larry Elder.,6,,,0.14332503,0.18007562,0.072603166,0.12998174,0.1361703,0.110109806,0.39193547
22,24151,<built-in method utcnow of type object at 0x10f13d478>,like. animal crackers are legit the best snack,9,,,0.24078992,0.14758217,0.06952958,0.15329446,0.24249361,0.28833982,0.32641706
23,16590,<built-in method utcnow of type object at 0x10f13d478>,"RT @NHLDevils: 2-2! Adam Henrique cleans up the trash in front of the net, tying the game for the #NJDevils with 11:06 left in regulation! &#8230;",0,,,0.40316832,0.20750456,0.047066435,0.22554836,0.4952288,0.1897773,0.42494437
